turn,color,move,player_name
165,WHITE,B7,MomijiManjuBot
166,WHITE,C7,MomijiManjuBot
167,WHITE,D7,MomijiManjuBot
168,WHITE,E7,MomijiManjuBot
169,WHITE,F1,MomijiManjuBot
170,WHITE,F7,MomijiManjuBot
171,WHITE,B6,MomijiManjuBot
172,BLACK,F7,Human
173,WHITE,D7,MomijiManjuBot
174,WHITE,E7,MomijiManjuBot
175,WHITE,F1,MomijiManjuBot
176,WHITE,F8,MomijiManjuBot
177,WHITE,G8,MomijiManjuBot
178,WHITE,G8,MomijiManjuBot
179,BLACK,G7,Human
180,WHITE,F1,MomijiManjuBot
181,WHITE,G6,MomijiManjuBot
182,WHITE,H7,MomijiManjuBot
183,WHITE,H8,MomijiManjuBot
184,WHITE,H8,MomijiManjuBot
185,BLACK,G6,Human
186,WHITE,F1,MomijiManjuBot
187,WHITE,G4,MomijiManjuBot
188,WHITE,G5,MomijiManjuBot
189,WHITE,H5,MomijiManjuBot
190,WHITE,H6,MomijiManjuBot
191,WHITE,H7,MomijiManjuBot
192,WHITE,H7,MomijiManjuBot
193,BLACK,G5,Human
194,WHITE,A6,MomijiManjuBot
195,WHITE,F1,MomijiManjuBot
196,WHITE,G3,MomijiManjuBot
197,WHITE,G4,MomijiManjuBot
198,WHITE,H4,MomijiManjuBot
199,WHITE,G4,MomijiManjuBot
200,BLACK,H6,Human
201,WHITE,A6,MomijiManjuBot
202,WHITE,F1,MomijiManjuBot
203,WHITE,G3,MomijiManjuBot
204,WHITE,H4,MomijiManjuBot
205,WHITE,H5,MomijiManjuBot
206,WHITE,H5,MomijiManjuBot
207,BLACK,H4,Human
208,WHITE,A6,MomijiManjuBot
209,WHITE,F1,MomijiManjuBot
210,WHITE,G3,MomijiManjuBot
211,WHITE,H3,MomijiManjuBot
212,WHITE,G3,MomijiManjuBot
213,BLACK,H3,Human
214,WHITE,A6,MomijiManjuBot
215,WHITE,F1,MomijiManjuBot
216,WHITE,G2,MomijiManjuBot
217,WHITE,H2,MomijiManjuBot
218,WHITE,H2,MomijiManjuBot
219,BLACK,F8,Human
220,WHITE,A6,MomijiManjuBot
221,WHITE,E7,MomijiManjuBot
222,WHITE,E8,MomijiManjuBot
223,WHITE,F1,MomijiManjuBot
224,WHITE,G2,MomijiManjuBot
225,WHITE,E8,MomijiManjuBot
226,BLACK,F1,Human
227,WHITE,E7,MomijiManjuBot
228,WHITE,G1,MomijiManjuBot
229,WHITE,G2,MomijiManjuBot
230,WHITE,G1,MomijiManjuBot
231,BLACK,E7,Human
232,WHITE,A6,MomijiManjuBot
233,WHITE,C7,MomijiManjuBot
234,WHITE,D7,MomijiManjuBot
235,WHITE,D8,MomijiManjuBot
236,WHITE,G2,MomijiManjuBot
237,WHITE,D7,MomijiManjuBot
238,BLACK,D8,Human
239,WHITE,A6,MomijiManjuBot
240,WHITE,C7,MomijiManjuBot
241,WHITE,C8,MomijiManjuBot
242,WHITE,G2,MomijiManjuBot
243,WHITE,C7,MomijiManjuBot
244,BLACK,H1,Human
245,WHITE,C8,MomijiManjuBot
246,WHITE,G2,MomijiManjuBot
247,WHITE,C8,MomijiManjuBot
248,BLACK,G2,Human
249,BLACK,A6,Human
250,WHITE,B7,MomijiManjuBot
251,WHITE,B7,MomijiManjuBot
252,BLACK,A8,Human
253,WHITE,A7,MomijiManjuBot
254,WHITE,B8,MomijiManjuBot
255,WHITE,A7,MomijiManjuBot
256,BLACK,B8,Human
