epoch,opponent,win_rate
266,DumbBot,100.0
267,DumbBot,60.0
268,DumbBot,100.0
269,DumbBot,80.0
270,DumbBot,60.0
271,DumbBot,60.0
272,DumbBot,60.0
273,DumbBot,60.0
274,DumbBot,80.0
275,DumbBot,80.0
276,DumbBot,100.0
277,DumbBot,80.0
278,DumbBot,100.0
279,DumbBot,80.0
280,DumbBot,80.0
281,DumbBot,80.0
282,DumbBot,100.0
283,DumbBot,80.0
284,DumbBot,80.0
285,DumbBot,60.0
286,DumbBot,80.0
287,DumbBot,100.0
288,DumbBot,80.0
289,DumbBot,80.0
290,DumbBot,80.0
291,DumbBot,60.0
292,DumbBot,80.0
293,DumbBot,80.0
294,DumbBot,100.0
295,DumbBot,80.0
296,DumbBot,60.0
297,DumbBot,60.0
298,DumbBot,100.0
299,DumbBot,80.0
300,DumbBot,100.0
301,DumbBot,100.0
302,DumbBot,80.0
303,DumbBot,60.0
304,DumbBot,80.0
305,DumbBot,100.0
306,DumbBot,100.0
307,DumbBot,40.0
308,DumbBot,80.0
309,DumbBot,40.0
310,DumbBot,80.0
311,DumbBot,100.0
312,DumbBot,80.0
313,DumbBot,60.0
314,DumbBot,80.0
315,DumbBot,60.0
316,DumbBot,80.0
317,DumbBot,80.0
318,DumbBot,60.0
319,DumbBot,80.0
320,DumbBot,60.0
321,DumbBot,80.0
322,DumbBot,100.0
323,DumbBot,40.0
324,DumbBot,60.0
325,DumbBot,80.0
326,DumbBot,60.0
327,DumbBot,80.0
328,DumbBot,80.0
329,DumbBot,60.0
330,DumbBot,80.0
331,DumbBot,40.0
332,DumbBot,80.0
333,DumbBot,40.0
334,DumbBot,100.0
335,DumbBot,100.0
336,DumbBot,80.0
337,DumbBot,60.0
338,DumbBot,80.0
339,DumbBot,100.0
340,DumbBot,80.0
341,DumbBot,60.0
342,DumbBot,100.0
343,DumbBot,80.0
344,DumbBot,80.0
345,DumbBot,80.0
346,DumbBot,80.0
347,DumbBot,80.0
348,DumbBot,60.0
349,DumbBot,60.0
350,DumbBot,100.0
351,DumbBot,100.0
352,DumbBot,100.0
353,DumbBot,100.0
354,DumbBot,80.0
355,DumbBot,80.0
356,DumbBot,100.0
357,DumbBot,80.0
358,DumbBot,60.0
359,DumbBot,100.0
360,DumbBot,80.0
361,DumbBot,40.0
362,DumbBot,60.0
363,DumbBot,40.0
364,DumbBot,80.0
365,DumbBot,80.0
366,DumbBot,80.0
367,DumbBot,60.0
368,DumbBot,20.0
369,DumbBot,60.0
370,DumbBot,60.0
371,DumbBot,80.0
372,DumbBot,100.0
373,DumbBot,80.0
374,DumbBot,100.0
375,DumbBot,80.0
376,DumbBot,80.0
377,DumbBot,100.0
378,DumbBot,80.0
379,DumbBot,100.0
380,DumbBot,80.0
381,DumbBot,80.0
382,DumbBot,100.0
383,DumbBot,60.0
384,DumbBot,100.0
385,DumbBot,80.0
386,DumbBot,80.0
387,DumbBot,60.0
388,DumbBot,80.0
389,DumbBot,80.0
390,DumbBot,80.0
391,DumbBot,100.0
392,DumbBot,100.0
393,DumbBot,60.0
394,DumbBot,80.0
395,DumbBot,100.0
396,DumbBot,100.0
397,DumbBot,60.0
398,DumbBot,80.0
399,DumbBot,80.0
400,DumbBot,80.0
401,DumbBot,60.0
402,DumbBot,100.0
403,DumbBot,60.0
404,DumbBot,100.0
405,DumbBot,100.0
406,DumbBot,100.0
407,DumbBot,100.0
