turn,color,move,player_name
1,BLACK,D3,Human
2,WHITE,C3,TaiyakiBot
3,BLACK,C4,Human
4,WHITE,C5,TaiyakiBot
5,BLACK,E6,Human
6,WHITE,D2,TaiyakiBot
7,BLACK,C6,Human
8,WHITE,C7,TaiyakiBot
9,BLACK,D1,Human
10,WHITE,E1,TaiyakiBot
11,BLACK,F1,Human
12,WHITE,D6,TaiyakiBot
13,BLACK,D7,Human
14,WHITE,E2,TaiyakiBot
15,BLACK,E3,Human
16,WHITE,D8,TaiyakiBot
17,BLACK,C8,Human
18,WHITE,B8,TaiyakiBot
19,BLACK,C2,Human
20,WHITE,C1,TaiyakiBot
21,BLACK,B1,Human
22,WHITE,E7,TaiyakiBot
23,BLACK,E8,Human
24,WHITE,F2,TaiyakiBot
25,BLACK,A8,Human
26,WHITE,B2,TaiyakiBot
27,BLACK,A1,Human
28,WHITE,A2,TaiyakiBot
29,BLACK,A3,Human
30,WHITE,B3,TaiyakiBot
31,BLACK,A4,Human
32,WHITE,F3,TaiyakiBot
33,BLACK,B4,Human
34,WHITE,B5,TaiyakiBot
35,BLACK,A5,Human
36,WHITE,A6,TaiyakiBot
37,BLACK,A7,Human
38,WHITE,B6,TaiyakiBot
39,BLACK,B7,Human
40,WHITE,F5,TaiyakiBot
41,BLACK,F4,Human
42,WHITE,F7,TaiyakiBot
43,BLACK,F6,Human
44,WHITE,F8,TaiyakiBot
45,BLACK,G6,Human
46,WHITE,G1,TaiyakiBot
47,BLACK,H1,Human
48,WHITE,G2,TaiyakiBot
49,BLACK,H2,Human
50,WHITE,G3,TaiyakiBot
51,BLACK,H3,Human
52,WHITE,G5,TaiyakiBot
53,BLACK,H5,Human
54,WHITE,G7,TaiyakiBot
55,BLACK,G4,Human
56,WHITE,H4,TaiyakiBot
57,BLACK,H6,Human
58,WHITE,H7,TaiyakiBot
59,BLACK,H8,Human
60,BLACK,G8,Human
61,BLACK,F5,Human
62,WHITE,D6,TaiyakiBot
63,BLACK,C5,Human
64,WHITE,B4,TaiyakiBot
65,BLACK,C4,Human
66,WHITE,C3,TaiyakiBot
67,BLACK,A4,Human
68,WHITE,A3,TaiyakiBot
69,BLACK,B5,Human
70,WHITE,A5,TaiyakiBot
71,BLACK,B3,Human
72,WHITE,C2,TaiyakiBot
73,BLACK,D7,Human
74,WHITE,B6,TaiyakiBot
75,BLACK,A6,Human
76,WHITE,A7,TaiyakiBot
77,BLACK,B2,Human
78,WHITE,A2,TaiyakiBot
79,BLACK,A1,Human
80,WHITE,B1,TaiyakiBot
81,BLACK,A8,Human
82,WHITE,C6,TaiyakiBot
83,BLACK,B7,Human
84,WHITE,B8,TaiyakiBot
85,BLACK,C1,Human
86,WHITE,D1,TaiyakiBot
87,BLACK,C8,Human
88,WHITE,C7,TaiyakiBot
89,BLACK,E1,Human
90,WHITE,E3,TaiyakiBot
91,BLACK,D2,Human
92,WHITE,D3,TaiyakiBot
93,BLACK,D8,Human
94,WHITE,E6,TaiyakiBot
95,BLACK,E2,Human
96,WHITE,E8,TaiyakiBot
97,BLACK,F2,Human
98,WHITE,F3,TaiyakiBot
99,BLACK,F4,Human
100,WHITE,F1,TaiyakiBot
101,BLACK,F6,Human
102,WHITE,E7,TaiyakiBot
103,BLACK,F7,Human
104,WHITE,F8,TaiyakiBot
105,BLACK,G1,Human
106,WHITE,G2,TaiyakiBot
107,BLACK,H1,Human
108,WHITE,G3,TaiyakiBot
109,BLACK,H2,Human
110,WHITE,G5,TaiyakiBot
111,BLACK,H4,Human
112,WHITE,G6,TaiyakiBot
113,BLACK,G4,Human
114,WHITE,H3,TaiyakiBot
115,BLACK,H6,Human
116,WHITE,G7,TaiyakiBot
117,BLACK,H5,Human
118,WHITE,H7,TaiyakiBot
119,BLACK,H8,Human
120,WHITE,G8,TaiyakiBot
