turn,color,move,player_name
1,BLACK,D3,Human
2,WHITE,C3,TaiyakiBot
3,BLACK,C4,Human
4,WHITE,C5,TaiyakiBot
5,BLACK,E6,Human
6,WHITE,D2,TaiyakiBot
7,BLACK,C6,Human
8,WHITE,C7,TaiyakiBot
9,BLACK,D1,Human
10,WHITE,E1,TaiyakiBot
11,BLACK,F1,Human
12,WHITE,D6,TaiyakiBot
13,BLACK,D7,Human
14,WHITE,E2,TaiyakiBot
15,BLACK,E3,Human
16,WHITE,D8,TaiyakiBot
17,BLACK,C8,Human
18,WHITE,B8,TaiyakiBot
19,BLACK,C2,Human
20,WHITE,C1,TaiyakiBot
21,BLACK,B1,Human
22,WHITE,E7,TaiyakiBot
23,BLACK,E8,Human
24,WHITE,F2,TaiyakiBot
25,BLACK,A8,Human
26,WHITE,B2,TaiyakiBot
27,BLACK,A1,Human
28,WHITE,A2,TaiyakiBot
29,BLACK,A3,Human
30,WHITE,B3,TaiyakiBot
31,BLACK,A4,Human
32,WHITE,F3,TaiyakiBot
33,BLACK,B4,Human
34,WHITE,B5,TaiyakiBot
35,BLACK,A5,Human
36,WHITE,A6,TaiyakiBot
37,BLACK,A7,Human
38,WHITE,B6,TaiyakiBot
39,BLACK,B7,Human
40,WHITE,F5,TaiyakiBot
41,BLACK,F4,Human
42,WHITE,F7,TaiyakiBot
43,BLACK,F6,Human
44,WHITE,F8,TaiyakiBot
45,BLACK,G6,Human
46,WHITE,G1,TaiyakiBot
47,BLACK,H1,Human
48,WHITE,G2,TaiyakiBot
49,BLACK,H2,Human
50,WHITE,G3,TaiyakiBot
51,BLACK,H3,Human
52,WHITE,G5,TaiyakiBot
53,BLACK,H5,Human
54,WHITE,G7,TaiyakiBot
55,BLACK,G4,Human
56,WHITE,H4,TaiyakiBot
57,BLACK,H6,Human
58,WHITE,H7,TaiyakiBot
59,BLACK,H8,Human
60,BLACK,G8,Human
