turn,color,move,player_name
1,BLACK,D3,Human
2,WHITE,C3,MomijiManjuBot
3,WHITE,C5,MomijiManjuBot
4,WHITE,E3,MomijiManjuBot
5,WHITE,C3,MomijiManjuBot
6,BLACK,E6,Human
7,WHITE,D2,MomijiManjuBot
8,WHITE,D6,MomijiManjuBot
9,WHITE,E3,MomijiManjuBot
10,WHITE,F4,MomijiManjuBot
11,WHITE,F6,MomijiManjuBot
12,WHITE,F6,MomijiManjuBot
13,BLACK,C4,Human
14,WHITE,C5,MomijiManjuBot
15,WHITE,D6,MomijiManjuBot
16,WHITE,E3,MomijiManjuBot
17,WHITE,E7,MomijiManjuBot
18,WHITE,C5,MomijiManjuBot
19,BLACK,D6,Human
20,WHITE,C6,MomijiManjuBot
21,WHITE,C7,MomijiManjuBot
22,WHITE,E2,MomijiManjuBot
23,WHITE,E3,MomijiManjuBot
24,WHITE,E7,MomijiManjuBot
25,WHITE,F4,MomijiManjuBot
26,WHITE,F7,MomijiManjuBot
27,WHITE,F4,MomijiManjuBot
28,BLACK,E3,Human
29,WHITE,C6,MomijiManjuBot
30,WHITE,C7,MomijiManjuBot
31,WHITE,D2,MomijiManjuBot
32,WHITE,D7,MomijiManjuBot
33,WHITE,E2,MomijiManjuBot
34,WHITE,E7,MomijiManjuBot
35,WHITE,F2,MomijiManjuBot
36,WHITE,F3,MomijiManjuBot
37,WHITE,F5,MomijiManjuBot
38,WHITE,F7,MomijiManjuBot
39,WHITE,F5,MomijiManjuBot
40,BLACK,C6,Human
41,WHITE,B6,MomijiManjuBot
42,WHITE,C2,MomijiManjuBot
43,WHITE,C7,MomijiManjuBot
44,WHITE,D2,MomijiManjuBot
45,WHITE,D7,MomijiManjuBot
46,WHITE,E2,MomijiManjuBot
47,WHITE,E7,MomijiManjuBot
48,WHITE,F2,MomijiManjuBot
49,WHITE,F3,MomijiManjuBot
50,WHITE,F7,MomijiManjuBot
51,WHITE,C2,MomijiManjuBot
52,BLACK,D2,Human
53,WHITE,B6,MomijiManjuBot
54,WHITE,B7,MomijiManjuBot
55,WHITE,C1,MomijiManjuBot
56,WHITE,C7,MomijiManjuBot
57,WHITE,D7,MomijiManjuBot
58,WHITE,E1,MomijiManjuBot
59,WHITE,E2,MomijiManjuBot
60,WHITE,E7,MomijiManjuBot
61,WHITE,F2,MomijiManjuBot
62,WHITE,F3,MomijiManjuBot
63,WHITE,F7,MomijiManjuBot
64,WHITE,B7,MomijiManjuBot
65,BLACK,G3,Human
66,WHITE,D1,MomijiManjuBot
67,WHITE,D7,MomijiManjuBot
68,WHITE,E1,MomijiManjuBot
69,WHITE,E2,MomijiManjuBot
70,WHITE,E7,MomijiManjuBot
71,WHITE,F2,MomijiManjuBot
72,WHITE,F3,MomijiManjuBot
73,WHITE,F7,MomijiManjuBot
74,WHITE,G4,MomijiManjuBot
75,WHITE,F3,MomijiManjuBot
76,BLACK,E2,Human
77,WHITE,C1,MomijiManjuBot
78,WHITE,C7,MomijiManjuBot
79,WHITE,D1,MomijiManjuBot
80,WHITE,D7,MomijiManjuBot
81,WHITE,E1,MomijiManjuBot
82,WHITE,E7,MomijiManjuBot
83,WHITE,F1,MomijiManjuBot
84,WHITE,F2,MomijiManjuBot
85,WHITE,F7,MomijiManjuBot
86,WHITE,H2,MomijiManjuBot
87,WHITE,H3,MomijiManjuBot
88,WHITE,C1,MomijiManjuBot
89,BLACK,A8,Human
90,WHITE,B6,MomijiManjuBot
91,WHITE,C7,MomijiManjuBot
92,WHITE,D1,MomijiManjuBot
93,WHITE,D7,MomijiManjuBot
94,WHITE,E1,MomijiManjuBot
95,WHITE,E7,MomijiManjuBot
96,WHITE,F1,MomijiManjuBot
97,WHITE,F2,MomijiManjuBot
98,WHITE,F7,MomijiManjuBot
99,WHITE,H2,MomijiManjuBot
100,WHITE,H3,MomijiManjuBot
101,WHITE,D7,MomijiManjuBot
102,BLACK,C7,Human
103,WHITE,A7,MomijiManjuBot
104,WHITE,B5,MomijiManjuBot
105,WHITE,B6,MomijiManjuBot
106,WHITE,B8,MomijiManjuBot
107,WHITE,C8,MomijiManjuBot
108,WHITE,D1,MomijiManjuBot
109,WHITE,E1,MomijiManjuBot
