turn,color,move,player_name
165,WHITE,F2,MomijiManjuBot
166,BLACK,A5,Human
167,WHITE,A6,MomijiManjuBot
168,WHITE,B6,MomijiManjuBot
169,WHITE,B7,MomijiManjuBot
170,WHITE,C7,MomijiManjuBot
171,WHITE,D7,MomijiManjuBot
172,WHITE,E7,MomijiManjuBot
173,WHITE,A6,MomijiManjuBot
174,BLACK,A7,Human
175,WHITE,B6,MomijiManjuBot
176,WHITE,B7,MomijiManjuBot
177,WHITE,C7,MomijiManjuBot
178,WHITE,D7,MomijiManjuBot
179,WHITE,E7,MomijiManjuBot
180,WHITE,F7,MomijiManjuBot
181,WHITE,C7,MomijiManjuBot
182,BLACK,B6,Human
183,WHITE,B7,MomijiManjuBot
184,WHITE,D7,MomijiManjuBot
185,WHITE,E7,MomijiManjuBot
186,WHITE,F7,MomijiManjuBot
187,WHITE,B7,MomijiManjuBot
188,BLACK,B8,Human
189,WHITE,A8,MomijiManjuBot
190,WHITE,C8,MomijiManjuBot
191,WHITE,D7,MomijiManjuBot
192,WHITE,E7,MomijiManjuBot
193,WHITE,F7,MomijiManjuBot
194,WHITE,A8,MomijiManjuBot
195,BLACK,C8,Human
196,WHITE,D7,MomijiManjuBot
197,WHITE,D8,MomijiManjuBot
198,WHITE,E7,MomijiManjuBot
199,WHITE,F7,MomijiManjuBot
200,WHITE,D8,MomijiManjuBot
201,BLACK,D7,Human
202,WHITE,E7,MomijiManjuBot
203,WHITE,F7,MomijiManjuBot
204,WHITE,E7,MomijiManjuBot
205,BLACK,E8,Human
206,WHITE,F1,MomijiManjuBot
207,WHITE,F7,MomijiManjuBot
208,WHITE,F8,MomijiManjuBot
209,WHITE,F8,MomijiManjuBot
210,BLACK,F7,Human
211,WHITE,F1,MomijiManjuBot
212,WHITE,G6,MomijiManjuBot
213,WHITE,G8,MomijiManjuBot
214,WHITE,F1,MomijiManjuBot
215,BLACK,G7,Human
216,WHITE,G5,MomijiManjuBot
217,WHITE,G6,MomijiManjuBot
218,WHITE,G8,MomijiManjuBot
219,WHITE,H6,MomijiManjuBot
220,WHITE,H8,MomijiManjuBot
221,WHITE,H8,MomijiManjuBot
222,BLACK,H7,Human
223,WHITE,G6,MomijiManjuBot
224,WHITE,G8,MomijiManjuBot
225,WHITE,H6,MomijiManjuBot
226,WHITE,H6,MomijiManjuBot
227,BLACK,G6,Human
228,WHITE,G4,MomijiManjuBot
229,WHITE,G5,MomijiManjuBot
230,WHITE,G8,MomijiManjuBot
231,WHITE,H5,MomijiManjuBot
232,WHITE,G5,MomijiManjuBot
233,BLACK,H5,Human
234,WHITE,G4,MomijiManjuBot
235,WHITE,G8,MomijiManjuBot
236,WHITE,H4,MomijiManjuBot
237,WHITE,G4,MomijiManjuBot
238,BLACK,H4,Human
239,WHITE,G3,MomijiManjuBot
240,WHITE,G8,MomijiManjuBot
241,WHITE,H3,MomijiManjuBot
242,WHITE,H3,MomijiManjuBot
