turn,color,move,player_name
1,BLACK,D3,Human
2,WHITE,C3,MomijiManjuBot
3,WHITE,C5,MomijiManjuBot
4,WHITE,E3,MomijiManjuBot
5,WHITE,C3,MomijiManjuBot
6,BLACK,C4,Human
7,WHITE,C5,MomijiManjuBot
8,WHITE,E3,MomijiManjuBot
9,WHITE,C5,MomijiManjuBot
10,BLACK,E6,Human
11,WHITE,D2,MomijiManjuBot
12,WHITE,E2,MomijiManjuBot
13,WHITE,E3,MomijiManjuBot
14,WHITE,F3,MomijiManjuBot
15,WHITE,F4,MomijiManjuBot
16,WHITE,F5,MomijiManjuBot
17,WHITE,F6,MomijiManjuBot
18,WHITE,F7,MomijiManjuBot
19,WHITE,F4,MomijiManjuBot
20,BLACK,E3,Human
21,WHITE,D2,MomijiManjuBot
22,WHITE,D6,MomijiManjuBot
23,WHITE,E2,MomijiManjuBot
24,WHITE,F2,MomijiManjuBot
25,WHITE,F3,MomijiManjuBot
26,WHITE,F5,MomijiManjuBot
27,WHITE,F6,MomijiManjuBot
28,WHITE,F7,MomijiManjuBot
29,WHITE,F3,MomijiManjuBot
30,BLACK,E2,Human
31,WHITE,D1,MomijiManjuBot
32,WHITE,D2,MomijiManjuBot
33,WHITE,D6,MomijiManjuBot
34,WHITE,F1,MomijiManjuBot
35,WHITE,F2,MomijiManjuBot
36,WHITE,F5,MomijiManjuBot
37,WHITE,F6,MomijiManjuBot
38,WHITE,F7,MomijiManjuBot
39,WHITE,F5,MomijiManjuBot
40,BLACK,B5,Human
41,WHITE,A5,MomijiManjuBot
42,WHITE,B3,MomijiManjuBot
43,WHITE,B4,MomijiManjuBot
44,WHITE,C2,MomijiManjuBot
45,WHITE,D1,MomijiManjuBot
46,WHITE,D2,MomijiManjuBot
47,WHITE,D7,MomijiManjuBot
48,WHITE,E1,MomijiManjuBot
49,WHITE,E7,MomijiManjuBot
50,WHITE,F2,MomijiManjuBot
51,WHITE,F7,MomijiManjuBot
52,WHITE,D2,MomijiManjuBot
53,BLACK,C6,Human
54,WHITE,A5,MomijiManjuBot
55,WHITE,A6,MomijiManjuBot
56,WHITE,B3,MomijiManjuBot
57,WHITE,B4,MomijiManjuBot
58,WHITE,B6,MomijiManjuBot
59,WHITE,B7,MomijiManjuBot
60,WHITE,C7,MomijiManjuBot
61,WHITE,D1,MomijiManjuBot
62,WHITE,D7,MomijiManjuBot
63,WHITE,E1,MomijiManjuBot
64,WHITE,E7,MomijiManjuBot
65,WHITE,F1,MomijiManjuBot
66,WHITE,F2,MomijiManjuBot
67,WHITE,F7,MomijiManjuBot
68,WHITE,C7,MomijiManjuBot
69,BLACK,D7,Human
70,WHITE,A5,MomijiManjuBot
71,WHITE,A6,MomijiManjuBot
72,WHITE,B7,MomijiManjuBot
73,WHITE,C8,MomijiManjuBot
74,WHITE,D1,MomijiManjuBot
75,WHITE,E1,MomijiManjuBot
76,WHITE,E7,MomijiManjuBot
77,WHITE,F1,MomijiManjuBot
78,WHITE,F2,MomijiManjuBot
79,WHITE,F7,MomijiManjuBot
80,WHITE,B7,MomijiManjuBot
81,BLACK,A7,Human
82,WHITE,A4,MomijiManjuBot
83,WHITE,A5,MomijiManjuBot
84,WHITE,A6,MomijiManjuBot
85,WHITE,A8,MomijiManjuBot
86,WHITE,C8,MomijiManjuBot
87,WHITE,D1,MomijiManjuBot
88,WHITE,E1,MomijiManjuBot
89,WHITE,E7,MomijiManjuBot
90,WHITE,E8,MomijiManjuBot
91,WHITE,F1,MomijiManjuBot
92,WHITE,F2,MomijiManjuBot
93,WHITE,F7,MomijiManjuBot
94,WHITE,A8,MomijiManjuBot
95,BLACK,B3,Human
96,WHITE,A3,MomijiManjuBot
97,WHITE,A4,MomijiManjuBot
98,WHITE,A5,MomijiManjuBot
99,WHITE,A6,MomijiManjuBot
100,WHITE,B4,MomijiManjuBot
101,WHITE,C8,MomijiManjuBot
102,WHITE,D1,MomijiManjuBot
103,WHITE,D6,MomijiManjuBot
104,WHITE,E1,MomijiManjuBot
105,WHITE,E7,MomijiManjuBot
106,WHITE,E8,MomijiManjuBot
107,WHITE,F1,MomijiManjuBot
108,WHITE,F2,MomijiManjuBot
109,WHITE,A3,MomijiManjuBot
