turn,color,move,player_name
1,BLACK,F5,Human
2,WHITE,D6,CastellaBot
3,BLACK,C3,Human
4,WHITE,D3,CastellaBot
5,WHITE,F3,CastellaBot
6,WHITE,F4,CastellaBot
7,WHITE,G5,CastellaBot
8,BLACK,C4,Human
9,WHITE,B3,CastellaBot
10,WHITE,D3,CastellaBot
11,BLACK,C5,Human
12,WHITE,B4,CastellaBot
13,WHITE,B6,CastellaBot
14,WHITE,F4,CastellaBot
15,BLACK,C6,Human
16,WHITE,B6,CastellaBot
17,WHITE,F4,CastellaBot
18,BLACK,C7,Human
19,WHITE,D7,CastellaBot
20,WHITE,F4,CastellaBot
21,BLACK,C3,Human
22,WHITE,C4,CastellaBot
23,WHITE,C6,CastellaBot
24,WHITE,D6,CastellaBot
25,WHITE,E6,CastellaBot
26,WHITE,F6,CastellaBot
27,WHITE,G6,CastellaBot
28,BLACK,D3,Human
29,WHITE,C4,CastellaBot
30,BLACK,E3,Human
31,WHITE,D2,CastellaBot
32,WHITE,D6,CastellaBot
33,BLACK,F3,Human
34,WHITE,D6,CastellaBot
35,WHITE,F6,CastellaBot
36,WHITE,G4,CastellaBot
37,BLACK,G3,Human
38,WHITE,C6,CastellaBot
39,WHITE,F6,CastellaBot
40,BLACK,C4,Human
41,WHITE,C3,CastellaBot
42,WHITE,C5,CastellaBot
43,WHITE,E3,CastellaBot
44,WHITE,F4,CastellaBot
45,WHITE,G5,CastellaBot
46,BLACK,D3,Human
47,WHITE,C3,CastellaBot
48,BLACK,E6,Human
49,WHITE,D6,CastellaBot
50,WHITE,F4,CastellaBot
51,BLACK,F7,Human
52,WHITE,C5,CastellaBot
53,WHITE,D6,CastellaBot
54,WHITE,E3,CastellaBot
55,WHITE,F4,CastellaBot
56,WHITE,G5,CastellaBot
57,WHITE,G7,CastellaBot
58,WHITE,F6,CastellaBot
59,BLACK,C4,Human
60,WHITE,C3,CastellaBot
61,BLACK,C2,Human
62,WHITE,B2,CastellaBot
63,WHITE,B4,CastellaBot
64,WHITE,C5,CastellaBot
65,WHITE,D6,CastellaBot
